Timestamp,Gender,Age,Highest Level of Education,Prothom Alo credibility,Prothom Alo-identity,Daily Naya Diganta credibility,Daily Naya Diganta identity ,Dainik Amader Shomoy credibility,Dainik Amader Shomoy identity,Jugantor credibility,Jugantor identity,Daily Inqilab credibility,Daily Inqilab identity,SAMAKAL  credibility,SAMAKAL identity,Daily Janakantha credibility,Daily Janakantha identity,আজকের পত্রিকা credibility,আজকের পত্রিকা identity,The Daily Ittefaq credibility,The Daily Ittefaq identity,Bhorer Kagoj credibility,Bhorer Kagoj identity,Bangladesh Pratidin credibility ,Bangladesh Pratidin identity ,sangbad credibility,sangbad identity,Jai Jai Din credibility ,Jai Jai Din identity,Mzamin credibility,Mzamin identity,The Daily Star credibility,The Daily Star identity,kalerkantho credibility,kalerkantho identity,দেশ রূপান্তর - দায়িত্বশীলদের দৈনিক credibility,দেশ রূপান্তর - দায়িত্বশীলদের দৈনিক identity,The Financial Express credibility,The Financial Express identity,The Daily Sangram credibility,The Daily Sangram identity,Amardesh Online credibility,Amardesh Online identity
15/12/2024 04:21:32,Female,18-29,Collage Graduate,1,Neutral,1,a Bangladesh Nationalist Party,1,"a Awami League (AL),",-1,Neutral,-1,Neutral,1,a Bangladesh Nationalist Party,1,Neutral,-1,Neutral,1,Neutral,1,a Bangladesh Nationalist Party,1,Neutral,-1,Neutral,0,"a Awami League (AL),",-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,0,a Bangladesh Nationalist Party,0,"a Awami League (AL),"
15/12/2024 04:30:59,Female,18-29,Post Graduate,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,0,Neutral,1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,1,Neutral,0,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 04:32:10,Female,18-29,Collage Graduate,1,a Bangladesh Nationalist Party,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,1,a Bangladesh Nationalist Party,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
15/12/2024 04:39:34,Female,18-29,Post Graduate,1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,"a Awami League (AL),",0,Neutral,0,Neutral,-1,Neutral,1,"a Awami League (AL),",-1,Neutral,1,"a Awami League (AL),",-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 04:49:04,Female,18-29,Collage Graduate,0,Neutral,0,Neutral,1,Neutral,0,Neutral,1,Neutral,1,Neutral,0,Neutral,1,Neutral,-1,Neutral,-1,Neutral,0,Neutral,0,Neutral,-1,Neutral,-1,Neutral,0,Neutral,1,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
15/12/2024 05:03:38,Female,18-29,Collage Graduate,1,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,1,Neutral,1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 05:22:01,Female,18-29,Collage Graduate,1,Neutral,1,"a Awami League (AL),",1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,Neutral,0,Neutral,1,Neutral,1,Neutral,1,Neutral,-1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,Neutral,1,a Bangladesh Nationalist Party,1,Neutral
15/12/2024 05:33:24,Female,18-29,Post Graduate,0.7,"a Awami League (AL),",-1,Neutral,-1,Neutral,0.5,Neutral,-1,"a Awami League (AL),",-1,a Bangladesh Nationalist Party,O.6,"a Awami League (AL),",-1,a Bangladesh Nationalist Party,0.8,Neutral,-1,"a Awami League (AL),",-1,Neutral,-1,Neutral,0.6,Neutral,-1,Neutral,0.9,Neutral,O.6,"a Awami League (AL),",-1,Neutral,-1,"a Awami League (AL),",-1,"a Awami League (AL),",-1,Neutral
15/12/2024 05:48:05,Female,18-29,Collage Graduate,1,Neutral,0,a Bangladesh Nationalist Party,-1,Neutral,1,Neutral,0,"a Awami League (AL),",1,Neutral,1,Neutral,1,Neutral,0,a Bangladesh Nationalist Party,1,"a Awami League (AL),",0,Neutral,1,Neutral,0,Neutral,0,Neutral,1,a Bangladesh Nationalist Party,1,"a Awami League (AL),",-1,"a Awami League (AL),",1,Neutral,-1,Neutral,-1,Neutral
15/12/2024 05:53:15,Female,18-29,Collage Graduate,0,"a Awami League (AL),",0.5,Neutral,-1,Neutral,0.5,Neutral,1,Neutral,0.5,Neutral,0.5,Neutral,-1,Neutral,0.5,Neutral,0.5,Neutral,1,Neutral,0.5,Neutral,0.5,Neutral,-1,Neutral,0,"a Awami League (AL),",1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral,-1,Neutral
