URL,newspaper,Rating,Explanation,Identity,Model
https://www.prothomalo.com/,Prothom Alo,0.7,"Prothom Alo is a leading daily, credible overall but leans toward the Awami League (AL) in its reporting.",Awami League (AL),gpt 40-mini
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.6,"Daily Naya Diganta has some political leaning towards the Bangladesh Nationalist Party (BNP), influencing its coverage.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.5,"Dainik Amader Shomoy is popular but tends to lean politically, affecting its credibility moderately.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://dailyinqilab.com/,Daily Inqilab,0.5,"The Daily Inqilab is credible but politically aligned with conservative views, affecting impartiality.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://samakal.com/,SAMAKAL,0.7,"Samakal is a generally credible source, although it has political leanings towards the Awami League (AL).",Awami League (AL),gpt 40-mini
https://www.dailyjanakantha.com/,Daily Janakantha,0.6,"Daily Janakantha is widely recognized but has some political bias, influencing coverage of events.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.ajkerpatrika.com/,Ajker Patrika,0.6,Ajker Patrika is a major daily with moderate credibility but occasionally influenced by political perspectives.,Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.ittefaq.com.bd/,The Daily Ittefaq,0.7,"The Daily Ittefaq is a respected source with some alignment to the Awami League (AL), affecting coverage.",Awami League (AL),gpt 40-mini
https://www.bhorerkagoj.com/,Bhorer Kagoj,0.6,Bhorer Kagoj is a respected newspaper but has political biases that can affect news reporting.,Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.bd-pratidin.com/,Bangladesh Pratidin,0.7,"Bangladesh Pratidin is a widely read daily with high credibility, but it leans towards the Awami League (AL).",Awami League (AL),gpt 40-mini
https://sangbad.net.bd/,sangbad,0.6,"Sangbad is long-established, credible overall, but political biases may affect its objectivity.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.jaijaidinbd.com/,Jai Jai Din,0.5,"Jaijaidin is known for political bias, especially in its reporting, affecting its reliability.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://mzamin.com/,Mzamin,0.6,"Mzamin has moderate credibility but is influenced by political viewpoints, which can affect reporting.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.thedailystar.net/,The Daily Star,0.8,"The Daily Star is one of the most credible sources in Bangladesh, known for balanced reporting.",Independent,gpt 40-mini
https://www.kalerkantho.com/,kalerkantho,0.6,"Kaler Kantho is popular but leans politically, which may influence news reporting.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.deshrupantor.com/,Desh Rupantor,0.6,"Desh Rupantor has moderate credibility, but its editorial choices may show political bias.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://thefinancialexpress.com.bd/,The Financial Express,0.8,The Financial Express is a credible economic newspaper with neutral reporting.,Independent,gpt 40-mini
https://www.dailysangram.com/,The Daily Sangram,0.5,"The Daily Sangram is politically biased, with moderate credibility, but influenced by conservative views.",Bangladesh Nationalist Party (BNP),gpt 40-mini
http://www.amardesh.com/,Amardesh Online,0.4,"Amar Desh has faced credibility issues due to its political bias, especially supporting opposition views.",Bangladesh Nationalist Party (BNP),gpt 40-mini
https://www.jugantor.com/,Jugantor,0.6,"The Daily Jugantor is a prominent Bengali newspaper in Bangladesh, recognized for its extensive coverage and significant readership. However, its reporting may reflect political biases, which could vary based on the reader's alignment.",Awami League (AL),gpt 40-mini
https://www.prothomalo.com/,Prothom Alo,0.9,Highly credible and widely respected for quality journalism.,Awami League (AL),gpt-4
https://www.dailynayadiganta.com/,Daily Naya Diganta,0.5,Known for its political bias towards BNP but maintains a significant readership.,Bangladesh Nationalist Party (BNP),gpt-4
https://www.dainikamadershomoy.com/,Dainik Amader Shomoy,0.6,"Moderately credible, sometimes shows political bias.",Independent,gpt-4
